ticker,currency,exchange,sector,industry
GPS,USD,New York Stock Exchange,Consumer Cyclical,Apparel Retail
GRMN,USD,Nasdaq Global Select,Technology,Scientific & Technical Instruments
GS,USD,New York Stock Exchange,Financial Services,Capital Markets
GWW,USD,New York Stock Exchange,Industrials,Industrial Distribution
HAL,USD,New York Stock Exchange,Energy,Oil & Gas Equipment & Services
HAS,USD,Nasdaq Global Select,Consumer Cyclical,Leisure
HBAN,USD,Nasdaq Global Select,Financial Services,Banks‚ Regional
HBI,USD,New York Stock Exchange,Consumer Cyclical,Apparel Manufacturing
HCA,USD,New York Stock Exchange,Healthcare,Medical Care Facilities
HD,USD,New York Stock Exchange,Consumer Cyclical,Home Improvement Retail
HES,USD,New York Stock Exchange,Energy,Oil & Gas E&P
HFC,USD,New York Stock Exchange,Energy,Oil & Gas Refining & Marketing
HIG,USD,New York Stock Exchange,Financial Services,Insurance‚ Diversified
HII,USD,New York Stock Exchange,Industrials,Aerospace & Defense
HLT,USD,New York Stock Exchange,Consumer Cyclical,Lodging
HOLX,USD,Nasdaq Global Select,Healthcare,Medical Instruments & Supplies
HON,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
HPE,USD,New York Stock Exchange,Technology,Communication Equipment
HPQ,USD,New York Stock Exchange,Technology,Computer Hardware
HRL,USD,New York Stock Exchange,Consumer Defensive,Packaged Foods
HSIC,USD,Nasdaq Global Select,Healthcare,Medical Distribution
HST,USD,New York Stock Exchange,Real Estate,REIT‚ Hotel & Motel
HSY,USD,New York Stock Exchange,Consumer Defensive,Confectioners
HUM,USD,New York Stock Exchange,Healthcare,Healthcare Plans
HWM,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
IBM,USD,New York Stock Exchange,Technology,Information Technology Services
ICE,USD,New York Stock Exchange,Financial Services,Financial Data & Stock Exchanges
IDXX,USD,Nasdaq Global Select,Healthcare,Diagnostics & Research
IEX,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
IFF,USD,New York Stock Exchange,Basic Materials,Specialty Chemicals
ILMN,USD,Nasdaq Global Select,Healthcare,Diagnostics & Research
INCY,USD,Nasdaq Global Select,Healthcare,Biotechnology
INFO,USD,New York Stock Exchange,Industrials,Consulting Services
INTC,USD,Nasdaq Global Select,Technology,Semiconductors
INTU,USD,Nasdaq Global Select,Technology,Software‚ Application
