date,operatingCashFlow,symbol,enterpriseValueMultiple,debtEquityRatio,operatingCashFlow_3y_percentile,enterpriseValueMultiple_3y_percentile,debtEquityRatio_3y_percentile,operatingCashFlow_ticker_decile,enterpriseValueMultiple_ticker_decile,debtEquityRatio_ticker_decile,sector,operatingCashFlow_sector_decile,enterpriseValueMultiple_sector_decile,debtEquityRatio_sector_decile,SP500,NQ,SP500_decile,NQ_decile,Total_Returns,operatingCashFlow_custom,enterpriseValueMultiple_custom,debtEquityRatio_custom,Total_Returns_custom,grades
2021-12-31,882000000.0,WHR,27.6025,3.1515,1,1,4,2.0,8.0,3.0,Consumer Cyclical,2.0,8.0,3.0,True,False,3.0,,0.1510840773079563,5.0,2.0,4.0,4.0,4
2022-03-31,-328000000.0,WHR,24.3812,3.2223,4,2,3,10.0,8.0,2.0,Consumer Cyclical,10.0,8.0,3.0,True,False,10.0,,-0.2637006733145828,1.0,2.0,5.0,1.0,1
2019-03-31,11406000.0,WIRE,47.5176,0.1121,3,1,4,8.0,6.0,10.0,Industrials,8.0,7.0,10.0,False,False,,,,2.0,3.0,1.0,,
2019-06-30,16445000.0,WIRE,36.4729,0.1349,3,1,3,8.0,7.0,10.0,Industrials,8.0,8.0,10.0,False,False,,,,2.0,2.0,1.0,,
2019-09-30,39595000.0,WIRE,37.6865,0.1321,2,1,3,8.0,7.0,10.0,Industrials,7.0,8.0,10.0,False,False,,,-0.0124583260221091,2.0,2.0,1.0,2.0,1
2019-12-31,38675000.0,WIRE,53.0327,0.1336,2,1,3,8.0,5.0,10.0,Industrials,7.0,6.0,10.0,False,False,,,0.0199004975124377,2.0,3.0,1.0,3.0,1
2020-03-31,9005000.0,WIRE,23.0223,0.1147,3,2,4,8.0,8.0,10.0,Industrials,8.0,9.0,10.0,False,False,,,-0.2684668989547037,2.0,2.0,1.0,1.0,1
2020-06-30,51279000.0,WIRE,36.1366,0.1161,1,2,4,7.0,7.0,10.0,Industrials,7.0,8.0,10.0,False,False,,,0.1626577756608715,2.0,2.0,1.0,4.0,1
2020-09-30,-5764000.0,WIRE,22.922,0.1572,4,3,1,9.0,8.0,10.0,Industrials,9.0,9.0,10.0,False,False,,,-0.0491601802539942,1.0,2.0,1.0,2.0,1
2020-12-31,2942000.0,WIRE,29.1658,0.1537,4,2,2,9.0,8.0,10.0,Industrials,9.0,9.0,10.0,False,False,,,0.3048255062473071,1.0,2.0,1.0,5.0,1
