ticker,ARKG,ARKK,ARKQ,ARKW,ARKX,BUG,DJIA 30,FW-bloom,FW-clean_energy,FW-concrete,FW-cyclicals,FW-earthy,FW-exosphere,FW-techtonic,FW-yosemite,NASDAQ 100,S&P 500,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,total,company,sector,industry,ref_etf
ATVI,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,3,Activision Blizzard,Communication Services,Electronic Gaming & Multimedia,XLC
AU,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Anglogold Ashanti,Basic Materials,Gold,XLB
AVAV,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,AeroVironment,Industrials,Aerospace & Defense,XLI
AVB,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,AvalonBay Communities,Real Estate,REIT‚ Residential,XLRE
AVGO,,,,,,,,1,,,,,,,1,1,1,,,,,,1,,,,,,5,Broadcom,Technology,Semiconductors,XLK
AVY,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,Avery Dennison,Industrials,Business Equipment & Supplies,XLI
AWK,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,3,American Water Works Co,Utilities,Utilities‚ Regulated Water,XLU
AXP,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,3,American Express,Financial Services,Credit Services,XLF
AY,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Atlantica Sustainable,Utilities,Utilities‚ Renewable,XLU
AYI,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Acuity Brands,Industrials,Electrical Equipment & Parts,XLI
AZN,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,AstraZeneca,Healthcare,Drug Manufacturers‚ General,XLV
AZO,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,3,AutoZone,Consumer Cyclical,Specialty Retail,XLY
BA,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,4,Boeing,Industrials,Aerospace & Defense,XLI
BABA,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,4,Alibaba Group Holding,Consumer Cyclical,Internet Retail,XLY
BASFY,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Basf,#N/A,#N/A,#N/A
BAX,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Baxter Intl,Healthcare,Medical Instruments & Supplies,XLV
BBY,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,3,Best Buy Co,Consumer Cyclical,Specialty Retail,XLY
BC,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Brunswick,Consumer Cyclical,Leisure,XLY
BCOV,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Brightcove,Technology,Software‚ Application,XLK
BDX,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,"Becton, Dickinson",Healthcare,Medical Instruments & Supplies,XLV
BE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Bloom Energy,Industrials,Electrical Equipment & Parts,XLI
BEAM,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Beam Therapeutics,Healthcare,Biotechnology,XLV
BEKE,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,KE Holdings,Real Estate,Real Estate Services,XLRE
BF.B,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,Brown-Forman,#N/A,#N/A,#N/A
BFLY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Butterfly Network,Healthcare,Medical Devices,XLV
BG,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Bunge,Consumer Defensive,Farm Products,XLP
BHP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,BHP Group,Basic Materials,Other Industrial Metals & Mining,XLB
BIDU,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,Baidu,Communication Services,Internet Content & Information,XLC
BIIB,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,3,Biogen,Healthcare,Drug Manufacturers‚ General,XLV
BILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bill.com Holdings,Technology,Software‚ Application,XLK
BIO,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,1,,4,Bio-Rad Laboratories,Healthcare,Medical Devices,XLV
BK,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Bank of New York Mellon,Financial Services,Asset Management,XLF
BKNG,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,3,Booking Holdings,Consumer Cyclical,Travel Services,XLY
BKR,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,Baker Hughes,Energy,Oil & Gas Equipment & Services,XLE
BL,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,BlackLine,Technology,Software‚ Infrastructure,XLK
BLDE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Blade Air Mobility,Financial Services,Airports & Air Services,XLF
BLDP.TO,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Ballard Power Systems,Industrials,Specialty Industrial Machinery,XLI
BLI,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Berkeley Lights,Healthcare,Biotechnology,XLV
BLK,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,BlackRock,Financial Services,Asset Management,XLF
BLL,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,Ball,Consumer Cyclical,Packaging & Containers,XLY
BMI,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Badger Meter,Industrials,Electrical Equipment & Parts,XLI
BMY,1,,,,,,,1,,,,,,,1,,1,,,,,,,,,,1,,5,Bristol-Myers Squibb,Healthcare,Drug Manufacturers‚ General,XLV
BPMC,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Blueprint Medicines,Healthcare,Biotechnology,XLV
BR,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,,,,4,Broadridge Financial Soln,Technology,Information Technology Services,XLK
BRK.B,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Berkshire Hathaway,Financial Services,Insurance‚ Diversified,XLF
BRLXF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Boralex,#N/A,#N/A,#N/A
BSX,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Boston Scientific,Healthcare,Medical Devices,XLV
BWA,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,BorgWarner,Consumer Cyclical,Auto Parts,XLY
BYDDY,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,BYD,#N/A,#N/A,#N/A
C,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Citigroup,Financial Services,Banks‚ Diversified,XLF
CACI,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,CACI International,Technology,Information Technology Services,XLK
CAG,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,3,Conagra Brands,Consumer Defensive,Packaged Foods,XLP
CAH,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,3,Cardinal Health,Healthcare,Medical Distribution,XLV
CALX,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Calix,Technology,Software‚ Application,XLK
CAMT,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Camtek,Technology,Semiconductor Equipment & Materials,XLK
CARR,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Carrier Global,Industrials,Building Products & Equipment,XLI
CAT,,,1,,,,1,,,,,,,,,,1,,,,,1,,,,,,,4,Caterpillar,Industrials,Farm & Heavy Construction Machinery,XLI
CB,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Chubb,Financial Services,Insurance‚ Property & Casualty,XLF
CBOE,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,Cboe Global Markets,Financial Services,Financial Data & Stock Exchanges,XLF
CBRE,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,CBRE Group,Real Estate,Real Estate Services,XLRE
CBT,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Cabot,Basic Materials,Specialty Chemicals,XLB
CC,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Chemours,Basic Materials,Specialty Chemicals,XLB
CCI,,,,,,,,1,,1,,,,,1,,1,,,,,,,,1,,,,5,Crown Castle Intl,Real Estate,REIT‚ Specialty,XLRE
CCL,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Carnival,Consumer Cyclical,Travel Services,XLY
CDNA,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,CareDx,Healthcare,Diagnostics & Research,XLV
CDNS,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,4,Cadence Design Systems,Technology,Software‚ Application,XLK
CDW,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,4,CDW,Technology,Information Technology Services,XLK
CDXS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Codexis,Healthcare,Biotechnology,XLV
CE,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,Celanese,Basic Materials,Chemicals,XLB
CERN,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,3,Cerner,Healthcare,Health Information Services,XLV
CERS,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,Cerus,Healthcare,Biotechnology,XLV
CF,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,CF Industries Holdings,Basic Materials,Agricultural Inputs,XLB
CFG,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Citizens Financial Group,Financial Services,Banks‚ Regional,XLF
CGEN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Compugen,Healthcare,Biotechnology,XLV
CGNX,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,Cognex,Technology,Scientific & Technical Instruments,XLK
CHCT,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,Community Healthcare,Real Estate,REIT‚ Healthcare Facilities,XLRE
CHD,,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,,,4,Church & Dwight Co,Consumer Defensive,Household & Personal Products,XLP
CHGG,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,Chegg,Consumer Defensive,Education & Training Services,XLP
CHKP,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,3,Check Point Software,Technology,Software‚ Infrastructure,XLK
CHRS,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Coherus BioSciences,Healthcare,Biotechnology,XLV
CHRW,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,C.H. Robinson Worldwide,Industrials,Integrated Freight & Logistics,XLI
CHTR,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,3,Charter Communications,Communication Services,Entertainment,XLC
CI,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Cigna,Healthcare,Healthcare Plans,XLV
CIEN,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,Ciena,Technology,Communication Equipment,XLK
CIG,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Energy Co of Minas Gerais,Utilities,Utilities‚ Diversified,XLU
CINF,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Cincinnati Financial,Financial Services,Insurance‚ Property & Casualty,XLF
CL,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,Colgate-Palmolive,Consumer Defensive,Household & Personal Products,XLP
CLGX,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,CoreLogic,Technology,Information Technology Services,XLK
CLLS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cellectis,Healthcare,Biotechnology,XLV
CLX,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,3,Clorox,Consumer Defensive,Household & Personal Products,XLP
CMA,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Comerica,Financial Services,Banks‚ Regional,XLF
CMC,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,Commercial Metals,Basic Materials,Steel,XLB
CMCSA,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,3,Comcast,Communication Services,Entertainment,XLC
CME,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,CME Group,Financial Services,Financial Data & Stock Exchanges,XLF
CMG,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,XLY
CMI,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Cummins,Industrials,Specialty Industrial Machinery,XLI
CMLF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CM Life Sciences,Financial Services,Shell Companies,XLF
CMS,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,CMS Energy,Utilities,Utilities‚ Regulated Electric,XLU
CNC,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Centene,Healthcare,Healthcare Plans,XLV
CNP,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,CenterPoint Energy,Utilities,Utilities‚ Regulated Electric,XLU
COF,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Capital One Financial,Financial Services,Credit Services,XLF
COG,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,Cabot Oil & Gas,Energy,Oil & Gas E&P,XLE
COIN,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,Coinbase Global,Technology,Software‚ Application,XLK
COKE,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,Coca-Cola Consolidated,Consumer Defensive,Beverages‚ Non-Alcoholic,XLP
CONE,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,CyrusOne,Real Estate,REIT‚ Specialty,XLRE
COO,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Cooper Companies,Healthcare,Medical Instruments & Supplies,XLV
COP,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,ConocoPhillips,Energy,Oil & Gas E&P,XLE
CORT,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Corcept Therapeutics,Healthcare,Biotechnology,XLV
COST,,,,,,,,1,,,,,,,1,1,1,,,,,,,1,,,,,5,Costco Wholesale,Consumer Defensive,Discount Stores,XLP
COUP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Coupa Software,Technology,Software‚ Application,XLK
COWN,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Cowen,Financial Services,Capital Markets,XLF
CPB,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,Campbell Soup,Consumer Defensive,Packaged Foods,XLP
CPRT,,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,4,Copart,Industrials,Specialty Business Services,XLI
CPWHF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Ceres Power Holdings,#N/A,#N/A,#N/A
CRH,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,CRH,Basic Materials,Building Materials,XLB
CRL,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,1,,4,Charles River,Healthcare,Diagnostics & Research,XLV
CRM,,,,,,,1,,,,,,1,1,,,1,,,,,,1,,,,,,5,Salesforce.com,Technology,Software‚ Application,XLK
CRSP,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,CRISPR Therapeutics,Healthcare,Biotechnology,XLV
CRWD,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,CrowdStrike Holdings,#N/A,#N/A,#N/A
CSCO,,,,,,,1,,,,,,,,1,1,1,,,,,,1,,,,,,5,Cisco Systems,Technology,Communication Equipment,XLK
CSL,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Carlisle Companies,Industrials,Building Products & Equipment,XLI
CSOD,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Cornerstone OnDemand,Technology,Software‚ Application,XLK
CSTL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Castle Biosciences,Healthcare,Diagnostics & Research,XLV
CSX,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,3,CSX,Industrials,Railroads,XLI
CTAS,,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,4,Cintas,Industrials,Specialty Business Services,XLI
CTB,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Cooper Tire & Rubber,Consumer Cyclical,Auto Parts,XLY
CTLT,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Catalent,Healthcare,Drug Manufacturers‚ Specialty & Generic,XLV
CTRE,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,CareTrust REIT,Real Estate,REIT‚ Healthcare Facilities,XLRE
CTSH,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,4,Cognizant Tech Solns,Technology,Information Technology Services,XLK
CTVA,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,Corteva,Basic Materials,Agricultural Inputs,XLB
CTXS,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,3,Citrix Systems,Technology,Software‚ Application,XLK
CUBE,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,CubeSmart,Real Estate,REIT‚ Industrial,XLRE
CVCO,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Cavco Indus,Consumer Cyclical,Residential Construction,XLY
CVS,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,3,CVS Health,Healthcare,Healthcare Plans,XLV
CYBR,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,CyberArk Software,#N/A,#N/A,#N/A
CZR,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Caesars Entertainment,Consumer Cyclical,Resorts & Casinos,XLY
